Age,YearExperience,SessionTime,Total
< 18,<1,<3,5
< 18,<1,3 - 4,9
< 18,<1,5 - 6,2
< 18,<1,6+,3
< 18,1 - 4,<3,3
< 18,1 - 4,3 - 4,27
< 18,1 - 4,5 - 6,3
< 18,1 - 4,6+,1
< 18,5 - 10,3 - 4,2
< 18,5 - 10,5 - 6,2
18 - 24,<1,<3,12
18 - 24,<1,3 - 4,30
18 - 24,<1,5 - 6,17
18 - 24,<1,6+,8
18 - 24,1 - 4,<3,18
18 - 24,1 - 4,3 - 4,55
18 - 24,1 - 4,5 - 6,38
18 - 24,1 - 4,6+,15
18 - 24,11 - 20,<3,1
18 - 24,11 - 20,3 - 4,7
18 - 24,11 - 20,5 - 6,8
18 - 24,11 - 20,6+,5
18 - 24,5 - 10,<3,10
18 - 24,5 - 10,3 - 4,26
18 - 24,5 - 10,5 - 6,19
18 - 24,5 - 10,6+,5
25 - 34,<1,<3,26
25 - 34,<1,3 - 4,56
25 - 34,<1,5 - 6,25
25 - 34,<1,6+,11
25 - 34,1 - 4,<3,27
25 - 34,1 - 4,3 - 4,121
25 - 34,1 - 4,5 - 6,51
25 - 34,1 - 4,6+,19
25 - 34,11 - 20,<3,12
25 - 34,11 - 20,3 - 4,44
25 - 34,11 - 20,5 - 6,27
25 - 34,11 - 20,6+,11
25 - 34,21 - 30,<3,1
25 - 34,21 - 30,3 - 4,14
25 - 34,21 - 30,5 - 6,9
25 - 34,21 - 30,6+,2
25 - 34,5 - 10,<3,15
25 - 34,5 - 10,3 - 4,80
25 - 34,5 - 10,5 - 6,27
25 - 34,5 - 10,6+,7
35 - 44,<1,<3,5
35 - 44,<1,3 - 4,22
35 - 44,<1,5 - 6,8
35 - 44,<1,6+,2
35 - 44,1 - 4,<3,24
35 - 44,1 - 4,3 - 4,52
35 - 44,1 - 4,5 - 6,19
35 - 44,1 - 4,6+,5
35 - 44,11 - 20,<3,14
35 - 44,11 - 20,3 - 4,31
35 - 44,11 - 20,5 - 6,19
35 - 44,11 - 20,6+,6
35 - 44,21 - 30,<3,7
35 - 44,21 - 30,3 - 4,23
35 - 44,21 - 30,5 - 6,10
35 - 44,21 - 30,6+,5
35 - 44,31+,3 - 4,13
35 - 44,31+,5 - 6,6
35 - 44,5 - 10,<3,6
35 - 44,5 - 10,3 - 4,32
35 - 44,5 - 10,5 - 6,12
35 - 44,5 - 10,6+,7
45 - 54,<1,<3,4
45 - 54,<1,3 - 4,6
45 - 54,<1,5 - 6,3
45 - 54,1 - 4,<3,4
45 - 54,1 - 4,3 - 4,18
45 - 54,1 - 4,5 - 6,4
45 - 54,1 - 4,6+,3
45 - 54,11 - 20,<3,5
45 - 54,11 - 20,3 - 4,12
45 - 54,11 - 20,5 - 6,8
45 - 54,11 - 20,6+,3
45 - 54,21 - 30,<3,3
45 - 54,21 - 30,3 - 4,10
45 - 54,21 - 30,5 - 6,6
45 - 54,21 - 30,6+,1
45 - 54,31+,<3,6
45 - 54,31+,3 - 4,16
45 - 54,31+,5 - 6,4
45 - 54,31+,6+,6
45 - 54,5 - 10,<3,3
45 - 54,5 - 10,3 - 4,9
45 - 54,5 - 10,5 - 6,2
45 - 54,5 - 10,6+,5
55 - 64,<1,<3,1
55 - 64,<1,3 - 4,1
55 - 64,<1,6+,2
55 - 64,1 - 4,<3,3
55 - 64,1 - 4,3 - 4,6
55 - 64,1 - 4,5 - 6,3
55 - 64,11 - 20,<3,1
55 - 64,11 - 20,3 - 4,4
55 - 64,11 - 20,5 - 6,4
55 - 64,21 - 30,<3,2
55 - 64,21 - 30,3 - 4,2
55 - 64,21 - 30,5 - 6,2
55 - 64,31+,<3,7
55 - 64,31+,3 - 4,18
55 - 64,31+,5 - 6,11
55 - 64,31+,6+,8
55 - 64,5 - 10,<3,3
55 - 64,5 - 10,3 - 4,9
55 - 64,5 - 10,5 - 6,3
55 - 64,5 - 10,6+,3
65+,<1,<3,3
65+,<1,3 - 4,1
65+,1 - 4,3 - 4,1
65+,21 - 30,<3,1
65+,21 - 30,3 - 4,1
65+,21 - 30,6+,1
65+,31+,<3,6
65+,31+,3 - 4,9
65+,31+,5 - 6,2
65+,31+,6+,1
65+,5 - 10,3 - 4,1
